date: Day,product_name,vendor_name,lot_name,references,Sum of inward_qty,Sum of return_qty_by_lot,Sum of net_qty,Average of unit_price_inr
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000525,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000526,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000527,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000529,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000531,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000532,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000533,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000536,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000537,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000538,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000539,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
2026-01-16,UHCTPFGAAS08,3DE Technology Prototype Solutions Pvt Ltd (Casting),RA-CH3-LF3-W1-AA08-0000540,UH/REC-SUB-3D/02614,1.0,0.0,1.0,380.0
